                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.50271,                0.29153,                0.78056,                0.97417,                0.92196,                0.97245,                0.69252,                 1.0334,                0.60612,                0.84085,              0.0013763,              0.0013763,              0.0013763
                     65,                0.49696,                0.28135,                0.78144,                0.96451,                   0.91,                0.96885,                0.69708,                 1.0337,                0.63618,                 0.8461,              0.0013664,              0.0013664,              0.0013664
                     66,                0.50415,                0.28652,                  0.784,                0.97789,                0.92556,                0.96833,                0.69363,                 1.0557,                0.60342,                0.83796,              0.0013565,              0.0013565,              0.0013565
                     67,                0.49598,                0.28159,                0.77845,                0.99044,                0.92108,                0.97278,                0.69839,                 1.0516,                0.70558,                0.83834,              0.0013466,              0.0013466,              0.0013466
                     68,                0.49174,                0.28342,                0.78224,                0.97981,                0.92444,                0.97121,                 0.7088,                 1.0529,                0.61999,                0.83848,              0.0013367,              0.0013367,              0.0013367
                     69,                0.49413,                0.28365,                0.77462,                0.99072,                0.92889,                0.98136,                 0.7194,                 1.0111,                0.53912,                0.83225,              0.0013268,              0.0013268,              0.0013268
                     70,                0.50149,                0.29001,                0.77871,                0.96016,                0.90444,                0.96696,                0.71218,                 1.0654,                0.72034,                 0.8376,              0.0013169,              0.0013169,              0.0013169
                     71,                0.50812,                0.28855,                0.77829,                0.97168,                0.91556,                0.96987,                0.70252,                 1.0495,                0.67325,                 0.8416,               0.001307,               0.001307,               0.001307
                     72,                0.47987,                0.27868,                0.77915,                0.97411,                   0.92,                0.96876,                0.70326,                 1.0168,                0.68595,                0.84334,              0.0012971,              0.0012971,              0.0012971
                     73,                0.48858,                0.28102,                0.77457,                0.98413,                0.91667,                0.98164,                0.71147,                0.99553,                0.58707,                0.83403,              0.0012872,              0.0012872,              0.0012872
                     74,                0.48835,                0.27608,                0.77656,                0.98142,                0.90444,                0.97024,                0.70267,                 1.0408,                0.68128,                0.83515,              0.0012773,              0.0012773,              0.0012773
                     75,                0.48663,                 0.2767,                0.77695,                0.96987,                0.89778,                0.96045,                0.70394,                 1.0797,                0.78478,                0.84616,              0.0012674,              0.0012674,              0.0012674
                     76,                0.49794,                0.27922,                0.77379,                0.96076,                   0.92,                0.96969,                0.71558,                 1.0623,                0.65012,                0.84413,              0.0012575,              0.0012575,              0.0012575
                     77,                0.47376,                0.27133,                0.77606,                0.97743,                0.91442,                0.97735,                0.70001,                 1.0654,                0.68128,                0.83816,              0.0012476,              0.0012476,              0.0012476
                     78,                0.47438,                0.27105,                0.78272,                0.98461,                0.92667,                0.97968,                0.70258,                 1.0398,                0.64993,                0.84202,              0.0012377,              0.0012377,              0.0012377
                     79,                 0.4809,                 0.2748,                0.77848,                0.97407,                0.93333,                0.97747,                0.73391,                 1.0371,                  0.613,                   0.84,              0.0012278,              0.0012278,              0.0012278
                     80,                0.48765,                0.27883,                0.78221,                 0.9819,                0.90409,                0.96889,                0.69143,                 1.0404,                0.68861,                0.84622,              0.0012179,              0.0012179,              0.0012179
                     81,                0.48193,                0.27125,                0.77648,                0.98826,                0.89556,                0.97378,                0.69199,                 1.0899,                0.75302,                0.84465,               0.001208,               0.001208,               0.001208
                     82,                0.48473,                0.27013,                0.78014,                0.98048,                0.88889,                0.95736,                0.68133,                 1.1007,                 0.8271,                0.84258,              0.0011981,              0.0011981,              0.0011981
                     83,                0.47849,                0.26992,                 0.7758,                0.96906,                0.93977,                0.97808,                0.71372,                 1.0556,                0.60996,                0.84558,              0.0011882,              0.0011882,              0.0011882
                     84,                0.46858,                0.25905,                0.78088,                0.96583,                0.92556,                0.98288,                0.71278,                 1.0398,                0.62275,                0.83472,              0.0011783,              0.0011783,              0.0011783
                     85,                0.45916,                0.25927,                0.78316,                0.99151,                 0.9082,                0.97573,                0.71471,                 1.0243,                0.62085,                0.83524,              0.0011684,              0.0011684,              0.0011684
                     86,                0.45115,                0.25684,                0.76853,                0.97944,                0.90778,                0.97355,                0.71076,                 1.0487,                0.61813,                0.83318,              0.0011585,              0.0011585,              0.0011585
                     87,                0.45711,                0.25976,                 0.7773,                0.98303,                0.90132,                0.97171,                0.71378,                  1.015,                0.68438,                0.82724,              0.0011486,              0.0011486,              0.0011486
                     88,                0.46086,                0.26426,                0.77768,                0.98166,                0.91222,                0.96577,                 0.7114,                 1.0486,                0.75746,                0.83753,              0.0011387,              0.0011387,              0.0011387
                     89,                0.46762,                0.26915,                0.78215,                0.98117,                    0.9,                0.95692,                0.69667,                  1.055,                0.81208,                  0.836,              0.0011288,              0.0011288,              0.0011288
