                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.7942,                0.43075,                0.82138,                0.95808,                0.36393,                0.82403,                0.91133,                0.87222,                0.93351,                0.54559,                 1.4359,                0.73657,                 0.9154,                  1.501,                0.73998,                0.91727,              0.0007328,              0.0007328,              0.0007328
                     35,                0.79736,                 0.4273,                0.82506,                0.97252,                0.37865,                0.82544,                0.94871,                0.84267,                 0.9189,                0.54501,                 1.4086,                0.75614,                0.90695,                 1.4739,                0.76639,                0.91022,              0.0006932,              0.0006932,              0.0006932
                     36,                0.80167,                0.43307,                0.82431,                  0.963,                0.36877,                 0.8279,                0.92029,                0.86111,                0.91485,                0.55743,                 1.3977,                0.72512,                0.90778,                 1.4543,                0.75319,                0.90939,              0.0006536,              0.0006536,              0.0006536
                     37,                0.77911,                0.41739,                0.81882,                0.94177,                 0.3627,                0.82354,                0.94234,                0.87158,                0.92657,                0.53867,                 1.4318,                0.76383,                0.91279,                 1.4829,                0.76809,                0.91553,               0.000614,               0.000614,               0.000614
                     38,                0.77674,                0.42475,                0.82153,                0.93712,                0.36843,                0.82517,                0.91835,                0.82333,                0.89194,                0.52958,                 1.4265,                0.82322,                0.91095,                  1.502,                0.91065,                0.91543,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79454,                0.42285,                0.82374,                0.95605,                 0.3564,                0.82622,                0.93405,                0.86548,                0.92814,                0.55755,                 1.4083,                0.74463,                0.90872,                 1.4729,                0.75776,                0.91078,              0.0005348,              0.0005348,              0.0005348
                     40,                0.75824,                0.41072,                0.81869,                 0.9244,                0.36504,                0.82307,                0.91486,                0.85962,                0.92273,                0.54731,                   1.43,                0.74301,                0.90722,                 1.4876,                0.75823,                0.91089,              0.0004952,              0.0004952,              0.0004952
                     41,                0.72117,                  0.412,                0.81697,                0.85643,                0.32746,                0.81927,                0.89894,                0.83222,                0.88917,                0.53059,                 1.4166,                0.87954,                0.91386,                 1.4864,                0.96947,                0.91214,              0.0004556,              0.0004556,              0.0004556
                     42,                0.72112,                0.39992,                0.81763,                0.83047,                0.30808,                0.82163,                0.93576,                0.85786,                0.91555,                0.54869,                 1.3728,                0.76879,                0.90098,                 1.4475,                0.80931,                0.90522,               0.000416,               0.000416,               0.000416
                     43,                 0.6756,                0.38488,                0.81073,                0.79825,                0.29315,                0.80901,                0.91961,                0.81889,                0.88888,                0.54167,                 1.4079,                0.77779,                0.90326,                 1.4782,                0.91729,                0.90736,              0.0003764,              0.0003764,              0.0003764
                     44,                0.66306,                0.37623,                0.81208,                0.77854,                0.29633,                0.81206,                0.92086,                0.84444,                0.90541,                0.54972,                  1.374,                0.75769,                0.90084,                 1.4254,                0.83704,                0.90232,              0.0003368,              0.0003368,              0.0003368
                     45,                0.66438,                0.37663,                0.81489,                0.78264,                0.29169,                0.81469,                0.94191,                0.83778,                0.91308,                0.54143,                 1.3852,                0.76784,                0.89915,                  1.454,                0.85112,                0.90039,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.6429,                0.37099,                0.81152,                0.76821,                0.27887,                 0.8099,                0.92791,                0.85811,                0.92281,                0.55759,                 1.3565,                0.77771,                0.89752,                   1.41,                0.83803,                0.90052,              0.0002576,              0.0002576,              0.0002576
                     47,                0.63711,                0.36244,                0.80871,                0.74142,                0.27012,                0.81046,                 0.9188,                0.84236,                0.90611,                0.54068,                 1.3902,                0.81581,                0.90117,                 1.4589,                0.88737,                0.90521,               0.000218,               0.000218,               0.000218
                     48,                0.63038,                0.36312,                0.80898,                0.72154,                0.26937,                0.80856,                0.93558,                0.83918,                 0.9109,                0.54676,                 1.3783,                0.77113,                0.90139,                  1.446,                0.88094,                0.90473,              0.0001784,              0.0001784,              0.0001784
                     49,                0.62532,                0.35523,                0.81116,                0.73815,                0.27439,                0.81115,                0.92875,                0.85333,                 0.9101,                0.55173,                 1.3713,                0.77035,                0.89752,                 1.4242,                0.84673,                0.89799,              0.0001388,              0.0001388,              0.0001388
                     50,                0.61945,                0.35176,                0.80486,                0.70583,                0.26375,                0.80292,                 0.9525,                0.84111,                0.91874,                0.55812,                  1.339,                0.75893,                0.89388,                 1.3966,                0.86006,                0.89533,               9.92e-05,               9.92e-05,               9.92e-05
